PRODUCT NAME ,ITEM CODE,CATEGORY,SUBCATEGORY,BRAND ,HS CODE,MODEL SERIES ,MDR ,COLOR/TAGS,PACK NAME ,PCS PER PACK ,,
EDTA K3 TUBE13X75  PET 3 ML ,B8,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3982,,,,1X100,1,,
EDTA K3 TUBE13X75 GLASS 3 ML ,B9,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
EDTA K3 TUBE13X75 PET 2 ML ,B10,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3982,,,,1X100,1,,
ESR FAST DETECTOR STAND ,B11,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
ESR TUBE 13X75 GLASS 3.8%  3 ML ,B12,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
ESR TUBE 8X20 GLASS 1.6 ML ,B13,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
GEL TUBE 16X100 GLASS 10 ML ,B14,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
GEL TUBE13X75 GLASS 4 ML ,B15,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
GEL TUBE13X75 GLASS 5 ML ,B16,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
GEL TUBE13X75 PET 4 ML ,B17,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3982,,,,1X100,1,,
GLUCOSE TUBE 0.5ML ,B18,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
GLUCOSE TUBE GLASS 2 ML ,B19,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
LITHIUM HEPARIN & GEL  4 ML ,B20,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
LITHIUM HEPARIN 3 ML ,B21,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
LITHIUM HEPARIN 3 ML PET ,B22,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3982,,,,1X100,1,,
PLAIN TUBE  16X100 GLASS 10 ML ,B23,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
PLAIN TUBE 0.5ML ,B24,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
PLAIN TUBE 13X75 GLASS 3 ML ,B25,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
PLAIN TUBE 13X75 PET 3 ML,B26,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3982,,,,1X100,1,,
PLAIN TUBE GLASS 5 ML ,B27,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
PLAIN WITH CLOT ACTIVATOR 4ML,B28,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
PLAIN WITH CLOT ACTIVATOR 5ML,B29,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
PT TUBE  SODIUM CITRATE 10 ML ,B30,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
PT TUBE 3.2% SODIUM CITRATE 1.8 ML ,B31,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3981,,,,1X100,1,,
PT TUBE PET 3.2% SODIUM CITRATE 1.8 M  ,B32,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3982,,,,1X100,1,,
VACCUME TUBE HOLDER ,B33,BLOOD COLLECTION,BIO-VAC,BIO-VAC,9018.3982,,,,1X100,1,,
EDTA 3 ML GLASS,X1,BLOOD COLLECTION,XINLE,XINLE,9018.3981,,,,1X100,1,,
EDTA K3 TUBE 2 ML GLASS ,X2,BLOOD COLLECTION,XINLE,XINLE,9018.3981,,,,1X100,1,,
EDTA K3 TUBE 3 ML PET ,X3,BLOOD COLLECTION,XINLE,XINLE,9018.3982,,,,1X100,1,,
GEL TUBE 3 ML PET,X4,BLOOD COLLECTION,XINLE,XINLE,9018.3982,,,,1X100,1,,
GEL TUBE 3ML GLASS ,X5,BLOOD COLLECTION,XINLE,XINLE,9018.3981,,,,1X100,1,,
GLUCOSE TUBE 3 ML GLASS ,X6,BLOOD COLLECTION,XINLE,XINLE,9018.3981,,,,1X100,1,,
LITHIUM HEPARIN ,X7,BLOOD COLLECTION,XINLE,XINLE,9018.3981,,,,1X100,1,,
PLAIN TUBE 4 ML NO ADDITIVE ,X8,BLOOD COLLECTION,XINLE,XINLE,9018.3981,,,,1X100,1,,
PLAIN TUBE CLOT ACTIVATOR 4 ML ,X9,BLOOD COLLECTION,XINLE,XINLE,9018.3981,,,,1X100,1,,
PT TUBE 10 ML GLASS ,X10,BLOOD COLLECTION,XINLE,XINLE,9018.3981,,,,1X100,1,,
PT TUBE 2 ML PET ,X11,BLOOD COLLECTION,XINLE,XINLE,9018.3982,,,,1X100,1,,
PT TUBE 2 ML GLASS ,X12,BLOOD COLLECTION,XINLE,XINLE,9018.3981,,,,1X100,1,,
GEL TUBE  GLASS ,Y1,BLOOD COLLECTION,YBK,YBK,9018.3981,,,,1X100,1,,
GLUCOSE TUBE  ,Y2,BLOOD COLLECTION,YBK,YBK,9018.3981,,,,1X100,1,,
PLAIN TUBE ,Y3,BLOOD COLLECTION,YBK,YBK,9018.3981,,,,1X100,1,,
PT TUBE ,Y4,BLOOD COLLECTION,YBK,YBK,9018.3981,,,,1X100,1,,
A1-LECTIN 5 ML ,S1,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
ALKALINE PHOSPHATASE 20X15 ML ,S2,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
ALKALINE PHOSPHATASE 30 TEST ,S3,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
AMYLASE 2X75 ML ,S4,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
ANTI  D,S5,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
ANTI HUMAN GLOBULIN 10 ML,S6,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
APTT 3ML ,S7,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
ASO KIT 100 TEST ,S8,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
BILIRUBIN KIT 2X150 ML ,S9,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
BRUCELLA ABORTUS 5 ML ,S10,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
BRUCELLA MELITENSIS 5 ML ,S11,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
CHOLESTROL 2X150 ML ,S12,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
CK  ( NACACT ) 2X25 ML ,S13,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
CK  ( NACACT ) 2X75 ML ,S14,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
CKMB ( NACACT ) 2X25 ML ,S15,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
CKMB ( NACACT ) 2X75 ML,S16,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
CREATININE 2X150 ML ,S17,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
CRP KIT 100 TEST,S18,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
GLUCOSE 4 X 250  ,S19,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
GLUCOSE KIT 1000 ML ,S20,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
GLUCOSE KIT 3X150 ML ,S21,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
GLYCOSYLATED HEMOGLOBIN 25 TEST ,S22,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
GPT 10X10,S23,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
IRON+TIBC 150 ML ,S24,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
JMS BLOOD BAG 500 ML,S25,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
LDH 2X150 ML ,S26,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
MICROALBUMIN UREA 25 TEST ,S27,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
MICROPROTEIN (CSF) 2X150 ML,S28,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
OCCULT BLOOD 100 TEST ,S29,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
PHOSPHOROUS 2X150 ML ,S30,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
POTASSIUM KIT 50 TEST ,S31,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
PT  (ISI~1.0)  5ML ,S32,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
RF 100 TEST ,S33,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
RPR 250 TEST,S34,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
SGOT (ASAT) KIT 2X150 ML ,S35,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
SGOT (ASAT) KIT 75 ML ,S36,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
SGPT (ALAT) KIT 2X150 ML ,S37,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
SGPT (ALAT) KIT 75 ML ,S38,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
SLE  KIT 25 TEST ,S39,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
SODIUM COLORIMETRIC 50 TEST ,S40,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
TOXOPLASMA KIT 25 TEST ,S41,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
TRIGLYCERIDE 75 ML ,S42,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
TUBERCULOSIS (PPD ) 5 TU  1X5 ML,S43,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
UREA 2X100 HUMAN,S44,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
UREA UV 2X150 ,S45,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
URIC ACID 2X150 ML ,S46,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
URIC ACID 75 ML ,S47,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
WIDAL  AH  5ML ,S48,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
WIDAL  AO  5ML ,S49,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
WIDAL  BH  5ML ,S50,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
WIDAL  BO  5ML ,S51,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
WIDAL  TH  5ML ,S52,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
WIDAL  TO  5ML,S53,BIOCHEMISTRY KITS,SBIO,SBIO,3822.9000,,,,1X1,1,,
BLOOD AGAR BASE 500 GM ,S54,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
BRAIN HEART INFUSION AGAR 500 GM ,S55,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
BRAIN HEART INFUSION BROTH 500 GM ,S56,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
CLED AGAR WITH ANDRADE 500 GM ,S57,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
COLOMBIA AGAR 500,S58,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
DNASE AGAR 500 GM  ,S59,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
FLUID THIOGLYCOLYTE 500GM,S60,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
L.J  MEDIUM BASE 500 GM ,S61,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
MACCONKEY AGAR BASE ,S62,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
MACCONKEY AGAR BROTH ,S63,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
MACCONKEY AGAR W/O CRYSTAL VIOLET ,S64,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
MACCONKEY AGAR WITH CRYSTAL VIOLET ,S65,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
MANNITOL SALT AGAR 500 GM ,S66,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
MULLER HINTON AGAR 500 GM ,S67,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
MULLER HINTON BROTH 500 GM,S68,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
NUTRIENT AGAR 500 GM ,S69,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
NUTRIENT BROTH 500 GM ,S70,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
PEPTONE WATER 500 GM ,S71,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
S.S AGAR 500 GM ,S72,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
SABOURAUD DEXTROSE AGAR 500 GM ,S73,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
SIMMONS CITRATE AGAR 500 GM ,S74,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
SOYABEAN CASEIN DIGEST 500 GM ,S75,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
T.C.B.S AGAR 500 GM ,S76,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
TRIPLE SUGAR IRON 500 GM ,S77,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
TRYPTON SOYA AGAR 500 GM ,S78,CULTURE MEDIA ,SBIO,SBIO,3822.9000,,,,1X1,1,,
ABD COMBIPACK  3X10 ML ,BIO 1,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
ANTIHUMAN GLOBULIN 10 ML ,BIO2,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
BOVINE ALBUMINE 10 ML,BIO 3,BIOCHEMISTRY KITS,BIOSCIEN,BIOSCIEN,3822.9000,,,,1X1,1,,
